label,text
joy,selling my used car
joy,"when i was offered a high position of trust , which i later accepted"
joy,i fell over head and ears in love with someone who appeared to be in love with me it made me so happy that i could hardly sleep and eat for one week
joy,"when a girl i wanted very much , said yes and fell in love with me"
joy,"when i had to undergo the final examination of secondary school , i lived together with a girlfriend we both were afraid to fail , but it appeard that we both had passed"
joy,"when i had a psychical crisis , i met a girl , who told me that she had had almost the same problems and how she had finally overcome them"
joy,receiving understanding from within self of a subject i had previously wished to understand better
joy,my old friend visited me in the university
joy,one day i did not feel very well and i wanted to talk to somebody a friend invited me for dinner and i was very glad
joy,got in touch with earlier friends after a long absence
joy,"i was appreciated by others , especially my family members and my friends"
joy,my son was registered to get admission in grade one of the primary school the chances of him getting a place there was 1 10 two weeks later i was informed that he had been enrolled
joy,winning a rowing race at a karapiro regatta with 7 other friends
joy,my being admitted to unza
joy,"after waiting impatiently for the results of the form 5 examinations for almost a year , at last i received a letter of acceptance from the senate of the university of zambia telling me that i had made it to the first year course at unza"
joy,meeting best friend at the airport \( boyfriend \) who i had missed terribly
joy,at a friend 's birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends
joy,when i made up with a girl friend of mine after having been on unfriendly terms with her \( my fault \) i cried with joy that evening
joy,passing my pharmacy exams which meant my tertiary education for pharmacy completed
joy,my boyfriend was playing with my cat he was playing games with her and telling nice things to her
joy,"i received a wedding invitation from an ex flatmate , enclosed was a small note that overcame a lot of the differences that had arisen between us due to the circumstances in which she left the flat"
joy,found my name on the list of attending the english lectures
joy,the day i learnt that i had been admitted to the university
joy,after i saw my family and good friends back after staying one year in a foreign country
joy,when i met a very close friend of mine after one year of separation
joy,when i was selected to the university of zambia
joy,"when i was back home after a long time , meeting beloved people and close friends"
joy,a friend came to tell me that her father invited me to go on holiday with them in benidorm otherwise i could not afford to go on holiday
joy,finding out my name on the list for english lectures
joy,it was in december last year that i was chosen to come to this institution to study as a medical assistant
joy,when my children were born
joy,after the term exams i happened to meet a person that i respect and of whom i think very highly it was nice that although we see each other rarely he had not forgotten me
joy,"when i was a student at the institute doing my m phil degree , one of my professors called me before the convocation and told me you have got the gold medal \( first rank \) in the university and tomorrow you will be on t v"
joy,"receiving notification that i had made a successful application to the speech therapy course at uni , gave me a very good feelig of achievment and joy"
joy,when my affairs with the girl i love settled positively
joy,the time i first saw my cousin who is living in tanzania
joy,"i experienced joy at a friend 's 22nd birthday party we had good food , good liquid , good company , good music , and an overall warm atmosphere the birthday girl and i communicate incredibly well i felt very content , warm and inspired just talking with her giving her a neck massage"
joy,"during my summer vacations i planned a carnival for the community youth center with a few other volunteers i was the head of the organizors and we spent over a month planning it during this period we got to know and understood each other we discovered each others potential and we planned many interesting things for the carnival the day of the carnival everything was bright , the programmes went well and the attendants enjoyed it i felt extremely excited about it"
joy,"when i was accepted for further education , here at the university"
joy,one of the greatest joiy was when i succeded in acquiring a motorcycle through my own efforts
joy,"when i pass exams , or when a close friend of mine recovered from an illness , etc"
joy,winning queensland chess championship
joy,at my wedding standing with the man i love and acknowledging that fact to members of family and friends
joy,when i knew about my first job
